Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;2010;2011;2012;2013;2014
Slovenia;Afghanistan;Import;Wood;Import (US$ Thousand);0,667;;;9,19;
Slovenia;Albania;Import;Wood;Import (US$ Thousand);26,305;30,767;41,423;142,073;82,094
Slovenia;Andorra;Import;Wood;Import (US$ Thousand);28,6;0,093;12,372;0,304;
Slovenia;Antarctica;Import;Wood;Import (US$ Thousand);;;0,451;;
Slovenia;Antigua and Barbuda;Import;Wood;Import (US$ Thousand);;;0,138;;
Slovenia;Argentina;Import;Wood;Import (US$ Thousand);264,272;20,432;1,292;9,221;91,797
Slovenia;Armenia;Import;Wood;Import (US$ Thousand);0,659;;;6,39;2,623
Slovenia;Aruba;Import;Wood;Import (US$ Thousand);69,08;85,077;86,236;70,801;84,89
Slovenia;Australia;Import;Wood;Import (US$ Thousand);17,686;33,017;7,534;41,172;15,214
Slovenia;Austria;Import;Wood;Import (US$ Thousand);288397,707;311458,704;336473,389;392501,416;360726,17
Slovenia;Azerbaijan;Import;Wood;Import (US$ Thousand);;;;;7,393
Slovenia;Bahrain;Import;Wood;Import (US$ Thousand);;;;39,393;
Slovenia;Bangladesh;Import;Wood;Import (US$ Thousand);25,32;7,31;17,131;18,29;12,55
Slovenia;Barbados;Import;Wood;Import (US$ Thousand);;;0,163;0,066;
Slovenia;Belarus;Import;Wood;Import (US$ Thousand);54,834;314,162;482,144;758,486;981,165
Slovenia;Belgium;Import;Wood;Import (US$ Thousand);5847,187;9557,721;7333,714;7772,675;10862,491
Slovenia;Bolivia;Import;Wood;Import (US$ Thousand);30,827;172,44;34,735;;75,924
Slovenia;Bosnia and Herzegovina;Import;Wood;Import (US$ Thousand);38784,661;56756,782;47424,888;63468,869;65221,03
Slovenia;Brazil;Import;Wood;Import (US$ Thousand);5142,454;2766,62;6329,278;2950,028;16327,786
Slovenia;Brunei;Import;Wood;Import (US$ Thousand);;;;258,273;48,726
Slovenia;Bulgaria;Import;Wood;Import (US$ Thousand);3062,97;1935,156;2299,194;3592;4917,863
Slovenia;Burkina Faso;Import;Wood;Import (US$ Thousand);;;;;1,096
Slovenia;Cambodia;Import;Wood;Import (US$ Thousand);;;;0,08;
Slovenia;Cameroon;Import;Wood;Import (US$ Thousand);;41,855;184,879;97,813;
Slovenia;Canada;Import;Wood;Import (US$ Thousand);924,313;275,194;469,895;384,623;125,387
Slovenia;Central African Republic;Import;Wood;Import (US$ Thousand);1,986;;;;
Slovenia;Chile;Import;Wood;Import (US$ Thousand);14844,075;20022,765;18722,875;16510,287;15341,485
Slovenia;China;Import;Wood;Import (US$ Thousand);21878,454;25273,2;20375,685;17979,151;23492,648
Slovenia;Cocos (Keeling) Islands;Import;Wood;Import (US$ Thousand);;;0,921;0,391;
Slovenia;Colombia;Import;Wood;Import (US$ Thousand);8,325;20,38;1,807;2,433;2,225
Slovenia;Congo, Dem. Rep.;Import;Wood;Import (US$ Thousand);938,008;936,199;428,277;671,112;684,599
Slovenia;Congo, Rep.;Import;Wood;Import (US$ Thousand);59,864;11,288;382,268;79,882;45,559
Slovenia;Costa Rica;Import;Wood;Import (US$ Thousand);43,953;92,243;42,545;;2,752
Slovenia;Cote d'Ivoire;Import;Wood;Import (US$ Thousand);3,046;69,013;16,404;3,066;
Slovenia;Croatia;Import;Wood;Import (US$ Thousand);113547,764;143737,54;123538,942;134187,989;139548,209
Slovenia;Cuba;Import;Wood;Import (US$ Thousand);;;0,246;0,004;0,066
Slovenia;Cyprus;Import;Wood;Import (US$ Thousand);0,52;0,708;15,544;2,284;19,467
Slovenia;Czech Republic;Import;Wood;Import (US$ Thousand);77528,877;70887,631;61788,363;50268,941;41325,692
Slovenia;Denmark;Import;Wood;Import (US$ Thousand);2641,583;2851,761;2511,389;2702,643;3256,929
Slovenia;Dominican Republic;Import;Wood;Import (US$ Thousand);;4,977;26,293;34,486;83,396
Slovenia;Ecuador;Import;Wood;Import (US$ Thousand);203,484;211,93;124,824;291,609;117,181
Slovenia;Egypt, Arab Rep.;Import;Wood;Import (US$ Thousand);41,956;13,48;6,006;23,915;15,699
Slovenia;El Salvador;Import;Wood;Import (US$ Thousand);144,546;50,571;39,285;51,968;
Slovenia;Eritrea;Import;Wood;Import (US$ Thousand);;;;;2,005
Slovenia;Estonia;Import;Wood;Import (US$ Thousand);850,948;678,388;1296,755;2999,303;3020,839
Slovenia;Finland;Import;Wood;Import (US$ Thousand);18715,071;16095,61;12745,518;14011,413;12376,109
Slovenia;France;Import;Wood;Import (US$ Thousand);20619,471;24205,434;17449,98;18230,942;23798,096
Slovenia;French Polynesia;Import;Wood;Import (US$ Thousand);;0,262;;;
Slovenia;Gabon;Import;Wood;Import (US$ Thousand);;;;15,249;38,17
Slovenia;Gambia, The;Import;Wood;Import (US$ Thousand);;0,418;;;
Slovenia;Georgia;Import;Wood;Import (US$ Thousand);;2,033;0,839;1,648;0,021
Slovenia;Germany;Import;Wood;Import (US$ Thousand);173715,6;192054,68;180235,12;171411,392;180317,772
Slovenia;Ghana;Import;Wood;Import (US$ Thousand);119,871;57,004;39,334;82,469;57,29
Slovenia;Gibraltar;Import;Wood;Import (US$ Thousand);1,118;;;0,203;
Slovenia;Greece;Import;Wood;Import (US$ Thousand);1209,362;1070,738;958,845;692,102;875,367
Slovenia;Grenada;Import;Wood;Import (US$ Thousand);;;;1,972;
Slovenia;Haiti;Import;Wood;Import (US$ Thousand);;;9,867;;
Slovenia;Holy See;Import;Wood;Import (US$ Thousand);;17,858;;;
Slovenia;Honduras;Import;Wood;Import (US$ Thousand);0,137;0,001;;0,001;
Slovenia;Hong Kong, China;Import;Wood;Import (US$ Thousand);397,205;283,313;251,054;405,904;273,87
Slovenia;Hungary;Import;Wood;Import (US$ Thousand);25223,87;30502,474;29652,423;42752,195;53935,5
Slovenia;Iceland;Import;Wood;Import (US$ Thousand);4,264;11,277;4,67;0,689;0,257
Slovenia;India;Import;Wood;Import (US$ Thousand);197,114;550,186;208,043;288,737;134,836
Slovenia;Indonesia;Import;Wood;Import (US$ Thousand);4658,144;4483,668;1927,95;3179,234;3505,471
Slovenia;Iran, Islamic Rep.;Import;Wood;Import (US$ Thousand);399,673;0,374;8,621;1,769;1,198
Slovenia;Ireland;Import;Wood;Import (US$ Thousand);727,324;1368,858;2557,987;1240,868;2498,797
Slovenia;Israel;Import;Wood;Import (US$ Thousand);199,92;106,004;157,352;144,533;231,297
Slovenia;Italy;Import;Wood;Import (US$ Thousand);163938,105;180836,816;162948,262;170935,79;187626,386
Slovenia;Jamaica;Import;Wood;Import (US$ Thousand);0,732;;;;
Slovenia;Japan;Import;Wood;Import (US$ Thousand);290,967;312,104;342,632;296,875;235,422
Slovenia;Jordan;Import;Wood;Import (US$ Thousand);0,019;0,109;;;0,1
Slovenia;Kazakhstan;Import;Wood;Import (US$ Thousand);;;0,874;;
Slovenia;Kenya;Import;Wood;Import (US$ Thousand);;0,698;;;
Slovenia;Korea, Dem. Rep.;Import;Wood;Import (US$ Thousand);0,11;0,644;0,083;0,008;0,093
Slovenia;Korea, Rep.;Import;Wood;Import (US$ Thousand);1482,719;2159,112;929,47;351,791;1213,606
Slovenia;Kuwait;Import;Wood;Import (US$ Thousand);2,997;;0,633;0,232;0,009
Slovenia;Kyrgyz Republic;Import;Wood;Import (US$ Thousand);;0,033;;;
Slovenia;Lao PDR;Import;Wood;Import (US$ Thousand);8,762;33,325;2,529;44,474;265,296
Slovenia;Latvia;Import;Wood;Import (US$ Thousand);393,675;653,867;866,732;871,85;1130,373
Slovenia;Lebanon;Import;Wood;Import (US$ Thousand);;;1,18;2,958;0,177
Slovenia;Lithuania;Import;Wood;Import (US$ Thousand);261,426;759,169;991,883;1217,248;1096,959
Slovenia;Luxembourg;Import;Wood;Import (US$ Thousand);1062,058;753,384;633,633;857,704;677,685
Slovenia;Macao;Import;Wood;Import (US$ Thousand);;;0,28;;69,594
Slovenia;Macedonia, FYR;Import;Wood;Import (US$ Thousand);1513,798;1268,343;1226,121;1092,686;1152,027
Slovenia;Madagascar;Import;Wood;Import (US$ Thousand);13,45;1,195;;18,228;19,795
Slovenia;Malaysia;Import;Wood;Import (US$ Thousand);1015,335;875,968;888,066;690,941;507,593
Slovenia;Mali;Import;Wood;Import (US$ Thousand);1,351;;;;0,932
Slovenia;Malta;Import;Wood;Import (US$ Thousand);0,233;0,178;;;
Slovenia;Mauritius;Import;Wood;Import (US$ Thousand);;;;;2,132
Slovenia;Mexico;Import;Wood;Import (US$ Thousand);54,251;360,039;69,491;201,296;325,642
Slovenia;Moldova;Import;Wood;Import (US$ Thousand);;;;49,629;31,03
Slovenia;Montenegro;Import;Wood;Import (US$ Thousand);558,009;872,155;945,246;1245,37;839,986
Slovenia;Morocco;Import;Wood;Import (US$ Thousand);2489,126;1273,374;442,481;1,177;0,893
Slovenia;Myanmar;Import;Wood;Import (US$ Thousand);1,371;;40,979;167,601;248,049
Slovenia;Namibia;Import;Wood;Import (US$ Thousand);1,71;1,288;0,311;0,682;0,302
Slovenia;Nepal;Import;Wood;Import (US$ Thousand);0,696;0,985;0,94;5,35;1,944
Slovenia;Netherlands;Import;Wood;Import (US$ Thousand);14462,358;19053,844;17173,772;16482,816;13890,2
Slovenia;Netherlands Antilles;Import;Wood;Import (US$ Thousand);0,011;;;;
Slovenia;New Zealand;Import;Wood;Import (US$ Thousand);0,129;61,205;7,995;0,238;2,17
Slovenia;Nicaragua;Import;Wood;Import (US$ Thousand);51,214;;;;
Slovenia;Niger;Import;Wood;Import (US$ Thousand);;0,058;;0,01;0,691
Slovenia;Nigeria;Import;Wood;Import (US$ Thousand);;;;;0,357
Slovenia;Niue;Import;Wood;Import (US$ Thousand);;;0,097;4,051;
Slovenia;Norway;Import;Wood;Import (US$ Thousand);4669,377;4284,321;2268,387;499,352;1432,628
Slovenia;Other Asia, nes;Import;Wood;Import (US$ Thousand);484,522;275,99;339,622;94,466;79,339
Slovenia;Pakistan;Import;Wood;Import (US$ Thousand);0,594;3,178;1,756;5,185;21,296
Slovenia;Panama;Import;Wood;Import (US$ Thousand);;0,001;;;
Slovenia;Paraguay;Import;Wood;Import (US$ Thousand);3,856;131,953;0,384;;
Slovenia;Peru;Import;Wood;Import (US$ Thousand);0,345;;79,4;0,044;
Slovenia;Philippines;Import;Wood;Import (US$ Thousand);30,666;32,648;6,372;17,811;16,997
Slovenia;Poland;Import;Wood;Import (US$ Thousand);27211,627;27219,844;25362,09;29734,328;27094,093
Slovenia;Portugal;Import;Wood;Import (US$ Thousand);2369,923;3163,559;4300,147;4737,293;5501,936
Slovenia;Qatar;Import;Wood;Import (US$ Thousand);;0,396;;;0,076
Slovenia;Romania;Import;Wood;Import (US$ Thousand);1768,036;3600,955;2874,042;12224,279;26669,353
Slovenia;Russian Federation;Import;Wood;Import (US$ Thousand);14444,166;14686,453;10277,386;10939,177;11016,187
Slovenia;Saint Helena;Import;Wood;Import (US$ Thousand);;;;4,617;102,719
Slovenia;San Marino;Import;Wood;Import (US$ Thousand);19,177;13,426;17,896;4,433;
Slovenia;Saudi Arabia;Import;Wood;Import (US$ Thousand);74,045;5,32;;0,134;1,889
Slovenia;Senegal;Import;Wood;Import (US$ Thousand);3,334;0,973;;0,034;
Slovenia;Serbia, FR(Serbia/Montenegro);Import;Wood;Import (US$ Thousand);34450,794;43037,083;32935,878;32070,96;38093,405
Slovenia;Sierra Leone;Import;Wood;Import (US$ Thousand);5,034;86,924;1,936;7,014;8,755
Slovenia;Singapore;Import;Wood;Import (US$ Thousand);188,085;147,799;79,689;77,924;211,163
Slovenia;Slovak Republic;Import;Wood;Import (US$ Thousand);45162,304;47063,711;46874,49;55466,537;48880,054
Slovenia;Slovenia;Import;Wood;Import (US$ Thousand);1309,656;1994,781;2872,775;2648,018;3148,871
Slovenia;South Africa;Import;Wood;Import (US$ Thousand);19,114;6,265;4,159;7,049;14,033
Slovenia;Spain;Import;Wood;Import (US$ Thousand);30865,489;30685,061;27353,972;34079,785;30806,546
Slovenia;Sri Lanka;Import;Wood;Import (US$ Thousand);4,957;10,682;10,617;3,786;27,512
Slovenia;Swaziland;Import;Wood;Import (US$ Thousand);;;;16,088;
Slovenia;Sweden;Import;Wood;Import (US$ Thousand);12858,004;10094,51;11185,133;13943,517;25223,368
Slovenia;Switzerland;Import;Wood;Import (US$ Thousand);6111,408;5265,993;4085,169;3979,134;3830,586
Slovenia;Syrian Arab Republic;Import;Wood;Import (US$ Thousand);6,822;11,332;0,336;0,616;0,592
Slovenia;Tajikistan;Import;Wood;Import (US$ Thousand);;0,842;0,761;2,765;1,342
Slovenia;Tanzania;Import;Wood;Import (US$ Thousand);;;1,004;;0,55
Slovenia;Thailand;Import;Wood;Import (US$ Thousand);1699,304;1326,229;844,691;766,312;525,127
Slovenia;Tunisia;Import;Wood;Import (US$ Thousand);0,41;;0,207;0,994;0,029
Slovenia;Turkey;Import;Wood;Import (US$ Thousand);676,952;1176,895;1060,942;4506,001;6855,246
Slovenia;Turks and Caicos Isl.;Import;Wood;Import (US$ Thousand);;;;16,135;
Slovenia;Tuvalu;Import;Wood;Import (US$ Thousand);;;0,121;;
Slovenia;Uganda;Import;Wood;Import (US$ Thousand);0,48;;;;
Slovenia;Ukraine;Import;Wood;Import (US$ Thousand);1866,498;2494,125;1917,971;2496,652;4695,58
Slovenia;United Arab Emirates;Import;Wood;Import (US$ Thousand);4,649;5,776;44,987;2,131;22,993
Slovenia;United Kingdom;Import;Wood;Import (US$ Thousand);17029,006;21615,92;19971,913;21257,968;20355,457
Slovenia;United States;Import;Wood;Import (US$ Thousand);10175,916;11033,786;9125,888;5863,89;6526,452
Slovenia;United States Minor Outlying I;Import;Wood;Import (US$ Thousand);;0,006;;;
Slovenia;Unspecified;Import;Wood;Import (US$ Thousand);28898,373;30257,644;29250,737;100,052;18,924
Slovenia;Uruguay;Import;Wood;Import (US$ Thousand);;918,353;84,529;30,408;8,559
Slovenia;Uzbekistan;Import;Wood;Import (US$ Thousand);;;0,965;32,4;165,295
Slovenia;Venezuela;Import;Wood;Import (US$ Thousand);;0,342;;;
Slovenia;Vietnam;Import;Wood;Import (US$ Thousand);388,546;243,376;214,941;207,288;263,638
Slovenia;Western Sahara;Import;Wood;Import (US$ Thousand);;;;;0,227
Slovenia;Zambia;Import;Wood;Import (US$ Thousand);0,162;;0,025;;
Slovenia;Zimbabwe;Import;Wood;Import (US$ Thousand);;;0,522;;
